yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1995;abruzzo_1112;0;0;0;0;0.36;3.64;8.440000000000001;9.559999999999999;1.72;0.04;0;0
2005;abruzzo_1112;0;0;0;0;0.40740740740740744;5.925925925925926;11.62962962962963;13.222222222222221;1.888888888888889;0.037037037037037035;0;0
1985;abruzzo_1707;0;0;0;0;0;0;0.4230769230769231;0.46153846153846156;0;0;0;0
1995;abruzzo_1707;0;0;0;0;0;0.07142857142857142;0.48275862068965514;0.41379310344827586;0;0;0;0
2005;abruzzo_1707;0;0;0;0;0;0.07692307692307693;0.48148148148148145;0.5925925925925926;0;0;0;0
1985;abruzzo_1940;0;0;0;0;0.038461538461538464;0.4615384615384615;3.423076923076923;4.269230769230769;0.23076923076923078;0;0;0
1995;abruzzo_1940;0;0;0.03571428571428571;0;0.17857142857142858;1.2857142857142858;4.428571428571428;4.589655172413793;0.3793103448275862;0;0;0
2005;abruzzo_1966;0;0;0;0;0.16;5.92;12.48;14.002666666666666;1.4000000000000001;0.04;0;0
1985;abruzzo_1975;0;0;0;0;0;1.3461538461538463;7;8.76923076923077;1.1923076923076923;0;0;0
1995;abruzzo_1975;0;0;0;0;0.20689655172413793;3.0344827586206895;9.275862068965518;10.724137931034484;1.4482758620689655;0;0;0
2005;abruzzo_1975;0;0;0;0;0.20689655172413793;4;10.89655172413793;13.052873563218391;1.5529131985731273;0;0;0
1985;abruzzo_1982;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1995;abruzzo_1982;0;0;0.034482758620689655;0;0.41494252873563214;2.7586206896551726;7.344827586206897;7.620689655172415;1.0689655172413792;0.06896551724137931;0;0
2005;abruzzo_1982;0;0;0.034482758620689655;0;0.3793103448275862;3.758620689655172;9.137931034482758;9.206896551724137;1.3448275862068966;0.06896551724137931;0;0
1985;abruzzo_2;0;0;0;0;0;1.92;8.08;9.280000000000001;0.7999999999999999;0;0;0
1995;abruzzo_2;0;0;0.03571428571428571;0;0.32142857142857145;4.5;11.071428571428571;11.5;1.3214285714285714;0;0;0
2005;abruzzo_2;0;0;0.034482758620689655;0;0.3793103448275862;6.93103448275862;14.482758620689655;16.03448275862069;2.4482758620689657;0;0;0
1985;abruzzo_2135;0;0;0;0;0.04;0.36;5.04;7.68;0.52;0;0;0
1995;abruzzo_2135;0;0;0;0;0.10714285714285714;2.357142857142857;7.357142857142857;9.5;0.8928571428571428;0;0;0
2005;abruzzo_2135;0;0;0;0;0.17857142857142858;3.3125;8.859605911330048;11.289285714285715;0.9642857142857142;0;0;0
2005;abruzzo_2137;0;0;0;0;0.21428571428571427;4.5;11.642857142857142;12.392857142857144;0.8214285714285714;0.03571428571428571;0;0
1985;abruzzo_2159;0;0;0;0;0.5416666666666666;4.875;16.416666666666664;17;2.958333333333333;0;0;0
1995;abruzzo_2159;0;0;0;0;1.0689655172413792;6.9655172413793105;17.82758620689655;18.17241379310345;2.931034482758621;0.10344827586206896;0;0
2005;abruzzo_2159;0;0;0;0.034482758620689655;1.2413793103448276;8.736453201970443;18.655172413793103;20.11576354679803;3.5517241379310347;0.10344827586206896;0;0
1985;abruzzo_2177;0;0;0;0;0.2;2.96;9.606666666666666;10.126666666666667;1.5599999999999998;0.08;0;0
1995;abruzzo_2177;0;0;0;0;0.5357142857142857;4.607142857142858;11.689655172413794;12.398850574712643;1.7241379310344827;0.06896551724137931;0;0
2005;abruzzo_2177;0;0;0;0;0.5599999999999999;7.011428571428572;14;15.32948717948718;2.1923076923076925;0.07692307692307693;0;0
1985;abruzzo_2258;0;0;0;0;0.12;2.12;10.32;10.200000000000001;0.48;0;0;0
1995;abruzzo_2258;0;0;0;0;0.35714285714285715;4.214285714285714;12.142857142857144;12.270238095238096;0.8928571428571428;0;0;0
2005;abruzzo_2258;0;0;0;0;0.6785714285714285;7;15.444444444444445;16.946913580246914;2.962962962962963;0;0;0
1985;abruzzo_2274;0;0;0;0;0;0.576923076923077;6.884615384615385;7.576923076923077;0.7307692307692307;0;0;0
1995;abruzzo_2274;0;0;0;0;0.20689655172413793;2.2758620689655173;9.03448275862069;9.206896551724137;0.9310344827586207;0;0;0
2005;abruzzo_2274;0;0;0;0;0.3076923076923077;3.5795755968169765;9.68;10.956410256410257;0.8461538461538461;0;0;0
1975;aeronautica_6686;0;0;0;0;0;0;0;0;0;0;0;0
1985;aeronautica_6686;0;0;0;0;0;0;0;0;0;0;0;0
1995;aeronautica_6686;0;0;0;0;0;0;0;0.03571428571428571;0;0;0;0
2005;aeronautica_6686;0;0;0;0;0;0.07142857142857142;0;0.03571428571428571;0;0;0;0
1975;aeronautica_6690;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;aeronautica_6690;0;0;0;0;0.3621598639455782;3.4342273307790547;9.108333333333334;8.044006568144498;0.3251231527093596;0;0;0
1995;aeronautica_6690;0;0;0;0;1.2046825396825396;6.8098522167487685;13.167777777777777;10.586973180076628;0.6367816091954023;0;0;0
2005;aeronautica_6690;0;0;0;0.09999999999999999;2.00468253968254;10.509852216748769;17.00111111111111;14.753639846743294;1.8915435139573074;0;0;0
1975;aeronautica_6691;0;0;0;0;0;0;0;0;0;0;0;0
