yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1975;aeronautica_6686;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6690;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;aeronautica_6691;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6692;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6693;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6694;0;0;0;0;0.3616666666666667;7.585;39.56896551724138;31.543333333333333;2.5733333333333333;0;0;0
1975;aeronautica_6697;0;0;0;0;0;0;0.6150000000000002;0.11206896551724138;0;0;0;0
1975;aeronautica_6703;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;aeronautica_6707;0;0;0;0;0;4.483333333333333;22.849999999999998;14.93125;0.3145833333333334;0;0;0
1975;aeronautica_6709;0;0;0;0;0;0;1.1016666666666666;0.275;0;0;0;0
1975;aeronautica_6710;0;0;0;0;0;5.02;32.00833333333333;25.305;1.0116666666666665;0;0;0
1975;aeronautica_6711;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;aeronautica_6718;0;0;0;0;0.4250000000000001;12.2375;55.53125000000001;33.045833333333334;0.7104166666666667;0;0;0
1975;aeronautica_6720;0;0;0;0;0;6.975;34.85666666666667;25.438333333333333;1.3849999999999998;0;0;0
1975;aeronautica_6721;0;0;0;0;0.47499999999999987;22.148333333333333;69.97;49.01333333333333;3.0931034482758615;0;0;0
1975;aeronautica_6723;0;0;0;0;0.4599999999999999;8.47;41.108333333333334;31.68;0;0;0;0
1975;aeronautica_6729;0;0;0;0;0.36833333333333335;18.170689655172414;54.95333333333333;44.21206896551724;2.9189655172413795;0;0;0
1975;aeronautica_6730;0;0;0;0;0.5666666666666665;15.176666666666668;47.49333333333333;37.843333333333334;1.5413793103448272;0;0;0
1975;aeronautica_6733;0;0;0;0;0;6.560416666666669;35.78333333333334;23.683333333333337;0.5604166666666668;0;0;0
1975;aeronautica_6736;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
1975;aeronautica_6749;0;0;0;0;0;0;0.2687499999999998;0;0;0;NA;NA
1975;aeronautica_6758;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6766;0;0;0;0;0;14.02241379310345;58.33833333333333;55.980000000000004;6.520689655172413;0;0;0
1975;aeronautica_6769;0;0;0;0;0;2.85;22.009999999999998;16.34;1.9716666666666667;0;0;0
