yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1995;abruzzo_1112;3.12;3.75878078817734;1.32;0.16;0;0;0;0;0;0;0.16;2
2005;abruzzo_1112;3.074074074074074;3.618226600985222;0.9259259259259259;0.14814814814814814;0;0;0;0;0;0;0.22222222222222224;1.8148148148148149
1985;abruzzo_1540;2.6538461538461537;1.6980508715422507;0.6538461538461537;0;0;0;0;0;0;0;0.04;1.0799999999999998
1995;abruzzo_1540;3.2758620689655173;2.6584847970103613;0.7241379310344828;0.034482758620689655;0;0;0;0;0;0;0.10344827586206896;1.5172413793103448
2005;abruzzo_1540;3.3846153846153846;3.065590659340659;0.6923076923076923;0.038461538461538464;0;0;0;0;0;0;0.11538461538461538;1.5384615384615383
1985;abruzzo_1707;23.187179487179485;20.968051345206515;16.461538461538463;9.153846153846153;0.8846153846153846;0;0;0;0.038461538461538464;1.5;10.676392572944296;19.338461538461537
1995;abruzzo_1707;22.650574712643678;20.690833616443008;15.724137931034484;6.137931034482759;0.48275862068965514;0;0;0;0;1.3793103448275863;9.123662306777646;18.99310344827586
2005;abruzzo_1707;22.296296296296294;20.051005747126435;14.777777777777779;5.074074074074074;0.4444444444444444;0;0;0;0;1.3333333333333333;7.333333333333333;18.001373626373624
2005;abruzzo_1966;5.8;4.863731527093596;1.3599999999999999;0.19999999999999998;0;0;0;0;0;0;0.44;3.230769230769231
1985;abruzzo_1982;2.375;1.259711104269294;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4166666666666667
1995;abruzzo_1982;2.0689655172413794;1.388026583998641;0.5517241379310345;0.06896551724137931;0;0;0;0;0;0;0;0.7241379310344828
2005;abruzzo_1982;1.2413793103448276;1.3388398165449293;0.44827586206896547;0.06896551724137931;0;0;0;0;0;0;0;0.6206896551724138
1995;abruzzo_1999;21.360000000000003;19.705418719211824;14.28;3.88;0.04;0;0;0;0;0.4;6.651428571428572;14.833333333333334
2005;abruzzo_1999;20;18.293186339522546;12.384615384615385;3.269230769230769;0.038461538461538464;0;0;0;0;0.34615384615384615;5.395604395604396;14.226666666666667
1985;abruzzo_2135;26.16;22.476145320197045;17.84;8.44;0.52;0;0;0;0.12;2.84;12.559999999999999;20.28
1995;abruzzo_2135;25.46428571428571;22.80277973258269;17.17857142857143;6.75;0.5;0;0;0;0.03571428571428571;2.357142857142857;11.714285714285714;20.5
2005;abruzzo_2135;24.185185185185183;21.29684201266714;14.918537414965986;5.392857142857143;0.32142857142857145;0;0;0;0.07142857142857142;1.8282967032967032;9.392857142857142;20.964285714285715
2005;abruzzo_2137;2.2413793103448274;2.3381709699337523;0.48275862068965514;0;0;0;0;0;0;0;0.07142857142857142;1.1724137931034482
1995;abruzzo_2176;16.083333333333332;14.441014983579638;9.208333333333334;1.7916666666666667;0;0;0;NA;NA;0.08333333333333333;3.7083333333333335;NA
2005;abruzzo_2176;14.73076923076923;12.810984274346342;7.115384615384615;1.0769230769230769;0;0;0;0;0;0.07407407407407407;3.4074074074074074;10.884615384615383
2005;abruzzo_2280;7.178571428571429;7.53590121393385;3.357142857142857;0.5;0;0;0;0;0;0;1.145320197044335;4.5
1985;abruzzo_606;1.5769230769230769;1.4277543577112544;0.6153846153846154;0;0;0;0;0;0;0;0.07692307692307693;0.8461538461538461
1995;abruzzo_606;1.689655172413793;1.8331068455919821;0.8965517241379309;0.10344827586206898;0;0;0;0;0;0;0.034482758620689655;1.206896551724138
2005;abruzzo_606;1.689655172413793;1.890691353830474;0.6206896551724138;0.10344827586206898;0;0;0;0;0;0;0.06896551724137931;0.8965517241379309
1975;aeronautica_6686;30.25;26.66799226874658;25.578498449188103;14.916256157635468;2.2925729442970826;0.15649867374005305;0.10344827586206896;0;0.2692307692307692;6.328571428571429;19.403241321013205;28.627380952380953
1985;aeronautica_6686;30.379310344827587;26.99727035086726;24.950617283950617;16.19334975369458;2.1363553113553113;0.08;0;0;0.24;7.128395061728395;21.104039408866992;28.91358024691358
1995;aeronautica_6686;30.412643678160922;27.623501877960855;25.416666666666664;15.229064039408867;1.924206349206349;0.07407407407407407;0;0;0.1923076923076923;6.15952380952381;20.483268218107696;29.282716049382717
2005;aeronautica_6686;30.171264367816093;27.326248513674198;24.17195767195767;11.785714285714285;1.3358465608465606;0;0;0;0.17857142857142855;5.445238095238095;17.77216748768473;29.034523809523808
1975;aeronautica_6690;27.455555555555556;20.370549188864562;10.226388888888888;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;aeronautica_6690;26.84567901234568;20.761406693903616;9.068267651888341;2.142857142857143;0.03571428571428571;0;0;0;0;2.079012345679012;15.505747126436782;25.784432234432234
1995;aeronautica_6690;27.061904761904763;20.028700636682206;7.5831549742370195;1.2;0;0;0;0;0;1.2114942528735633;13.470868014268728;24.295068027210885
2005;aeronautica_6690;25.738095238095237;17.250248114174987;5.5831549742370195;0.9666666666666667;0;0;0;0;0;0.7632183908045977;10.74384236453202;23.473639455782312
1975;aeronautica_6691;30.464444444444446;27.714138235115247;29.743507875691783;25.80520890348477;12.81528735632184;3.566847290640394;0.6077777777777778;0.616;3.2772577996715926;11.180268199233717;24.713628899835797;29.22873563218391
1985;aeronautica_6691;30.176190476190477;27.677196956368753;28.87161558109834;25.951094690749866;11.234236453201971;2.9917487684729065;0.25;0.46428571428571425;3.2389162561576352;11.687179487179488;24.40174972810441;28.876372924648784
1995;aeronautica_6691;29.925;27.502001231527093;28.29661558109834;24.46231527093596;8.68452380952381;2.1575650950035183;0.10714285714285714;0.2857142857142857;2.4334975369458127;9.71131741821397;22.917267917267917;29.139566755083997
2005;aeronautica_6691;30.067857142857143;27.331269385148694;28.139285714285712;21.288669950738914;7.7223443223443224;1.076530612244898;0.07142857142857142;0.10714285714285714;2.1865079365079367;8.548416110247263;19.668917289606945;28.95661983822903
1975;aeronautica_6692;30.297777777777778;27.529336734693878;29.395061728395063;26.10903119868637;14.27;4.553103448275862;0.91;1.001111111111111;4.252873563218391;12.15712643678161;24.632218373571835;28.582758620689653
1985;aeronautica_6692;29.79888888888889;27.170201605546435;29.121234567901237;26.1944170771757;12.666353489921706;4.333174791914388;0.43777777777777777;0.7333333333333333;4.645977011494253;13.228061831153388;24.338669950738915;28.524698412698413
1995;aeronautica_6692;29.585057471264367;26.866683260039384;28.6879012345679;24.60607553366174;10.584131267699483;3.3890606420927467;0.2;0.5333333333333333;4.0793103448275865;11.938406658739597;23.98152709359606;29.225809523809524
2005;aeronautica_6692;29.551724137931032;26.58576179833364;28.079012345679015;21.70607553366174;9.54127412484234;1.6967895362663497;0.1;0.26666666666666666;4.335632183908046;10.965517241379311;22.014778325123153;29.359142857142857
1975;aeronautica_6693;29.602380952380955;25.82989551680099;22.878339278636542;12.255459770114943;1.8833305022365663;0.16666666666666669;0;0.034482758620689655;0.975944170771757;7.905445287966097;20.895530012771392;29.013555291319857
1985;aeronautica_6693;29.52174603174603;26.407985921060632;21.917341269841266;12.514588859416445;1.8367816091954023;0.16666666666666669;0;0.03333333333333333;0.8333333333333333;7.718717948717949;21.536266349583826;28.35199233716475
1995;aeronautica_6693;29.69063492063492;26.808421896855805;22.47456349206349;11.947922192749779;1.4744444444444444;0.13333333333333333;0;0.03333333333333333;0.8666666666666667;7.259285714285714;20.523003750114334;28.311498510004256
2005;aeronautica_6693;29.451746031746033;26.68781434348963;21.907896825396826;10.274358974358973;1.5040740740740741;0.06666666666666667;0;0;0.938095238095238;6.417063492063492;18.10695339143615;28.21705406555981
1975;aeronautica_6694;20.300317460317462;15.145736904644952;6.765521072796935;0.5035303776683087;0.03333333333333333;0;0;0;0;0.44827586206896547;5.877526753864447;18.80669129720854
1985;aeronautica_6694;19.291428571428572;16.57099347278945;7.309159730479587;0.48887378970613216;0;0;0;0;0;0.6283068783068784;7.084423305588585;17.617405582922824
1995;aeronautica_6694;19.551769708552317;16.665668293658236;6.417333421411899;0.4543910310854425;0;0;0;0;0;0.4164021164021164;6.330321046373365;16.538967863007272
2005;aeronautica_6694;18.07781456707544;14.724556594267801;4.957964927792514;0.40276290426215466;0;0;0;0;0;0.36756066411238825;5.089135062321745;15.404823301552687
1975;aeronautica_6697;26.75110278194236;22.144457367876907;16.596923918992882;5.718390804597701;0.7666666666666666;0.06666666666666667;0;0;0.19999999999999998;3.8250437876299945;14.70154577883472;24.53341836734694
1985;aeronautica_6697;26.660158730158727;23.165056873588384;16.872671045429666;6.6184436517373495;0.6206896551724138;0;0;0;0.1724137931034483;5.005311137534681;15.909650694133452;24.42142857142857
1995;aeronautica_6697;26.456394064872324;23.512269495920975;16.722252420587736;5.502057613168724;0.21428571428571427;0;0;0;0.17857142857142855;3.919786535303776;14.242135985298887;24.091666666666665
2005;aeronautica_6697;25.48972739820566;22.143172129594543;15.393516788403828;5.242798353909465;0.15343915343915343;0;0;0;0.18112244897959184;3.666215106732348;11.282803403493059;24.248275862068965
1985;aeronautica_6700;20.244126984126986;16.518489421135083;7.468212445501387;0.4701149425287356;0;0;0;0;0;0.725287356321839;7.620689655172414;18.114153439153437
1995;aeronautica_6700;20.845655238758688;17.409858508074915;6.521473477323139;0.6663526722979756;0;0;0;0;0;0.6277646890840294;7.004254366323332;17.240864999198333
2005;aeronautica_6700;NA;15.172199164511888;4.834182025388146;0.8458197569374739;0;0;0;NA;0;0.7187222715173025;5.203652974267667;NA
1975;aeronautica_6703;NA;28.25;31;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;aeronautica_6703;31;28.25;31;29.962962962962962;30.62962962962963;26.43669428343758;NA;17.279525808479107;23.704593004990883;NA;29.849206349206348;31
1995;aeronautica_6703;31;28.211195054945055;31;29.96;30.346153846153847;24.51317191502868;NA;16.047507193148988;23.463152709359605;NA;29.923076923076923;31
2005;aeronautica_6703;31;28.211195054945055;31;30;30.208333333333336;NA;14.553333333333335;12.70598931303579;22.69379310344828;29.037499999999998;29.84;31
1975;aeronautica_6707;23.842528735632182;15.369319467250502;5.646850574712644;0.7960796387520526;0;0;0;0;0;0.24;7.464827586206896;21.549333333333333
1985;aeronautica_6707;22.776892588188666;15.18671437064719;4.8679746333729685;0.7168367346938775;0;0;0;0;0;0.2857142857142857;7.392857142857142;20.235714285714284
1995;aeronautica_6707;23.74888888888889;16.44669540229885;5;0.5;0;0;0;0;0;0.13333333333333333;6.8;19.799999999999997
2005;aeronautica_6707;22.71222222222222;14.529731116584564;3.6;0.4666666666666667;0;0;0;0;0;0.16666666666666666;5.385255648038051;18.866666666666667
1975;aeronautica_6709;11.806666666666667;8.651723802060008;3.718390804597701;0.21666666666666665;0;0;0;0;0;0.03333333333333333;2.155696602248326;9.238406658739596
1985;aeronautica_6709;10.484545454545454;8.190361019886883;3.2666666666666666;0.3;0;0;0;0;0;0.13333333333333333;2.6266233766233764;8.184615384615384
1995;aeronautica_6709;11.708150470219435;9.907214696223317;3.1;0.4;0;0;0;0;0;0.1;2.3266233766233766;9.48346595932803
2005;aeronautica_6709;11.510449320794148;8.929597701149426;2.9;0.4;0;0;0;0;0;0.1;1.749216300940439;7.913247863247863
1975;aeronautica_6710;21.43501642036125;15.573896362258433;6.970000000000001;0.6666666666666667;0.03333333333333333;0;0;0;0;0.793103448275862;8.366666666666667;21.00246913580247
1985;aeronautica_6710;20.26658163265306;16.824237569696315;6.236666666666666;0.9333333333333333;0.03333333333333333;0;0;0;0;0.8275862068965517;9.241379310344827;19.415197956577266
1995;aeronautica_6710;21.767783549783548;18.461717044244754;6.385612648221344;0.896551724137931;0;0;0;0;0;0.437957157784744;8.045854391913505;18.826658526658527
2005;aeronautica_6710;NA;16.880750058644146;5.4856418543974765;0.948051948051948;0;0;0;0;0;0.35669191919191917;6.514656452437562;NA
1975;aeronautica_6711;24.80293209876543;20.041502748129904;13.27361111111111;NA;NA;NA;NA;NA;NA;NA;NA;NA
1985;aeronautica_6711;24.17241379310345;21.51381221335145;13.226436781609195;3.7142857142857144;0.2511904761904762;0;0;0;0;1.5047619047619047;13.392857142857142;22.642857142857142
1995;aeronautica_6711;24.87666666666667;22.402853037766832;12.8;2.433333333333333;0.06777777777777777;0;0;0;0;1.2666666666666666;11.666666666666666;22.066666666666666
2005;aeronautica_6711;24.343333333333334;20.98107553366174;10.633333333333333;2.0666666666666664;0;0;0;0;0;1.2333333333333334;9.873959571938169;21.6
1985;aeronautica_6717;18.748809523809523;12.115840517241379;3.214285714285714;0.29081632653061223;0;0;0;0;0;0.07142857142857142;4.619458128078818;16.079761904761906
1995;aeronautica_6717;19.252222222222223;14.21197660098522;3.966666666666667;0.3;0;0;0;0;0;0.1;4.477011494252873;15.54111111111111
2005;aeronautica_6717;17.497777777777777;11.466995073891626;3.1666666666666665;0.23333333333333334;0;0;0;0;0;0.1;3.426872770511296;14.766666666666666
1975;aeronautica_6718;18.746666666666666;12.533790530925014;4.4399999999999995;0.2916666666666667;0;0;0;0;0;0.27999999999999997;5.502068965517242;17.442252873563216
1985;aeronautica_6718;17.93448275862069;13.506620582702629;4.241379310344827;0.2857142857142857;0;0;0;0;0;0.21428571428571427;5.25;15.53095238095238
1995;aeronautica_6718;18.92111111111111;14.71373494800219;4.233333333333333;0.26666666666666666;0;0;0;0;0;0.1;4.533333333333333;15.599999999999998
2005;aeronautica_6718;18.245555555555555;12.968404488232075;3.1333333333333333;0.23333333333333334;0;0;0;0;0;0.10344827586206896;3.7645659928656365;15.033333333333333
