id;regione;Longitude;Latitude;Elevation;SiteName;regione2
abruzzo_404;abruzzo;13.98527778;42.29555556;150;Alanno;Abruzzo
abruzzo_2247;abruzzo;13.80277778;41.99444444;538;Anversa  (ex cent.le Anversa);Abruzzo
abruzzo_2094;abruzzo;13.79805556;42.5;510;Arsita;Abruzzo
abruzzo_2168;abruzzo;13.56722222;42.24805556;620;Aterno a Fagnano;Abruzzo
abruzzo_2177;abruzzo;13.82972222;42.15638889;248;Aterno Sagittario a Allogg.idr;Abruzzo
abruzzo_2274;abruzzo;13.57388889;42.32361111;932;Barisciano;Abruzzo
abruzzo_1961;abruzzo;14.36833333;42.03444444;563;Bomba;Abruzzo
abruzzo_1999;abruzzo;13.40638889;42.53611111;1392;Campotosto;Abruzzo
abruzzo_2280;abruzzo;14.01916667;42.15083333;785;Caramanico meteo;Abruzzo
abruzzo_1112;abruzzo;13.94527778;42.34611111;323;Catignano;Abruzzo
abruzzo_606;abruzzo;14.18305556;42.37694444;244;Chieti;Abruzzo
abruzzo_2088;abruzzo;13.66777778;42.77333333;516;Civitella del Tronto;Abruzzo
abruzzo_2273;abruzzo;13.78;42.22111111;845;Collepietro;Abruzzo
abruzzo_1980;abruzzo;14.65;42.08222222;265;Cupello;Abruzzo
abruzzo_2137;abruzzo;13.95277778;42.74805556;55;Giulianova;Abruzzo
abruzzo_2213;abruzzo;13.79888889;42.08222222;904;Goriano Sicoli;Abruzzo
abruzzo_1940;abruzzo;14.38444444;42.22583333;273;Lanciano;Abruzzo
abruzzo_2159;abruzzo;13.42861111;42.33416667;618;L'Aquila;Abruzzo
abruzzo_1975;abruzzo;14.42805556;41.94222222;792;Montazzoli;Abruzzo
abruzzo_1958;abruzzo;14.24861111;41.99;1004;Montenerodomo;Abruzzo
abruzzo_2135;abruzzo;13.24138889;42.52611111;825;Montereale;Abruzzo
abruzzo_1938;abruzzo;14.405;42.34972222;51;Ortona;Abruzzo
abruzzo_1540;abruzzo;14.2425;42.44972222;2;Pescara;Abruzzo
aeronautica_6810;abruzzo;14.2;42.433;11;Pescara;Abruzzo
abruzzo_2187;abruzzo;14.01305556;42.27083333;95;Pescara ad Alanno;Abruzzo
abruzzo_2278;abruzzo;13.88444444;42.25361111;464;Pescosansonesco;Abruzzo
abruzzo_2029;abruzzo;13.55472222;42.52361111;1126;Pietracamela;Abruzzo
abruzzo_1951;abruzzo;14.08361111;41.85194444;1280;Roccaraso;Abruzzo
abruzzo_2281;abruzzo;13.96083333;42.17861111;430;Salle;Abruzzo
abruzzo_2214;abruzzo;14.35638889;41.955;287;Sangro a Villa S.Maria;Abruzzo
abruzzo_2256;abruzzo;13.60277778;42.6475;734;Santo Stefano;Abruzzo
abruzzo_2258;abruzzo;13.91444444;42.06861111;365;Sulmona;Abruzzo
abruzzo_2171;abruzzo;13.87194444;41.9175;1054;Tasso a Scanno;Abruzzo
abruzzo_2;abruzzo;13.71722222;42.65472222;264;Teramo;Abruzzo
abruzzo_1982;abruzzo;14.69833333;42.09972222;187;Vasto;Abruzzo
abruzzo_2263;abruzzo;13.77944444;42.33361111;1119;Villa S.Lucia;Abruzzo
basilicata_6;basilicata;16.0378;40.5894;794;Albano di Lucania;Basilicata
basilicata_44;basilicata;16.2461;40.7417;453;Irsina;Basilicata
basilicata_42;basilicata;16.6017;40.6694;389;Matera;Basilicata
basilicata_48;basilicata;15.8108;40.6328;669;Potenza;Basilicata
basilicata_25;basilicata;16.2067;40.2128;610;Roccanova;Basilicata
basilicata_194;basilicata;16.24831578;40.48401392;565;San Mauro Forte;Basilicata
basilicata_195;basilicata;15.802501;40.733056;859;San Nicola d'Avigliano;Basilicata
basilicata_2;basilicata;16.6539;40.3925;21;Torre Accio;Basilicata
basilicata_39;basilicata;15.7867;40.2986;875;Tramutola;Basilicata
basilicata_20;basilicata;16.4711;40.2517;257;Tursi;Basilicata
bolzano_203;bolzano;11.31283145;46.49768516;246;Bolzano;P.A. Bolzano
bolzano_172;bolzano;11.52910684;46.59512824;511;Colma - Barbiano;P.A. Bolzano
bolzano_23;bolzano;10.72507183;46.50906285;1896;Diga di Gioveretto Osservatore;P.A. Bolzano
bolzano_79;bolzano;11.5246721;46.92499219;1415;Diga di Vizze Osservatore;P.A. Bolzano
bolzano_58;bolzano;10.99013577;46.54187189;1282;Diga di Zoccolo - S. Valburga;P.A. Bolzano
bolzano_94;bolzano;12.21915906;46.72997843;1219;Dobbiaco;P.A. Bolzano
bolzano_176;bolzano;11.50595194;46.51340578;804;Fie' allo Sciliar;P.A. Bolzano
bolzano_150;bolzano;11.7029428;46.88718005;1151;Fundres;P.A. Bolzano
bolzano_135;bolzano;11.90707588;46.5836304;1398;La Villa in Badia Osservatore;P.A. Bolzano
bolzano_49;bolzano;11.13656021;46.68805798;369;Merano - Quarazze;P.A. Bolzano
bolzano_5;bolzano;10.5212676;46.70568911;1256;Monte Maria;P.A. Bolzano
bolzano_30;bolzano;10.99117805;46.64766321;561;Naturno;P.A. Bolzano
bolzano_206;bolzano;11.42685821;46.42048615;1416;Nova Ponente;P.A. Bolzano
bolzano_39;bolzano;11.17808117;46.82249293;1118;Plata;P.A. Bolzano
bolzano_110;bolzano;12.09912721;47.03658867;1515;Predoi;P.A. Bolzano
