id;SiteName;regione;Longitude;Latitude;Elevation;regione2
abruzzo_1112;Catignano;abruzzo;13.94527778;42.34611111;323;Abruzzo
abruzzo_1966;Casoli Diga;abruzzo;14.25805556;42.09555556;302;Abruzzo
abruzzo_2137;Giulianova;abruzzo;13.95277778;42.74805556;55;Abruzzo
basilicata_44;Irsina;basilicata;16.2461;40.7417;453;Basilicata
calabria_10;Montalto Uffugo;calabria;16.13055556;39.40111111;436;Calabria
calabria_215;Staiti;calabria;16.0355;37.99986111;369;Calabria
calabria_7;San Pietro In Guarano;calabria;16.31361111;39.34555556;766;Calabria
lazio_274;Montefiascone;lazio;12.0228;42.53;516;Lazio
lazio_282;Posticciola;lazio;12.9419;42.2336;626;Lazio
marche_108;Pergola;marche;12.844062;43.568672;242;Marche
marche_110;Jesi;marche;13.229972;43.531944;100;Marche
marche_151;Fossombrone;marche;12.798468;43.694527;96;Marche
marche_152;Fano;marche;13.053796;43.826328;7;Marche
marche_701;Ancona Torrette;marche;13.449807;43.610954;5;Marche
puglia_109;Pietramontecorvino;puglia;15.11722;41.53389;464;Puglia
puglia_123;Sannicandro_garganico;puglia;15.58417;41.83361;228;Puglia
puglia_143;Troia;puglia;15.30056;41.35056;436;Puglia
puglia_3;Altamura;puglia;16.55278;40.82389;458;Puglia
puglia_59;Gioia_del_colle;puglia;16.91694;40.8;377;Puglia
puglia_71;Locorotondo;puglia;17.33333;40.75;397;Puglia
toscana_232;Lucca;toscana;10.5127;43.842185;17;Toscana
toscana_349;Pontremoli Depuratore;toscana;9.883168;44.369246;290;Toscana
toscana_55;Prato Universita';toscana;11.099213;43.885556;64;Toscana
toscana_57;S. Giusto;toscana;11.193765;43.759952;39;Toscana
toscana_58;Case Passerini;toscana;11.17746;43.814406;35;Toscana
toscana_72;S. Miniato (Cimitero);toscana;10.831479;43.684031;42;Toscana
toscana_78;Volterra;toscana;10.862233;43.408995;372;Toscana
abruzzo_1982;Vasto;abruzzo;14.69833333;42.09972222;187;Abruzzo
basilicata_41;Noepoli;basilicata;16.3306;40.0894;575;Basilicata
basilicata_48;Potenza;basilicata;15.8108;40.6328;669;Basilicata
